date,airport_code,airline,origin_city,flight_number,scheduled_time,actual_time,delta_minutes,status
2026-08-12,MAA,Gulf Air,Bahrain,GF0068,05:20,05:17,-3,Arrived
2026-08-12,MAA,Air India,Delhi,AI2496,06:00,05:30,-30,Arrived
2026-08-12,MAA,IndiGo,Mumbai,6E0136,06:05,05:40,-25,Arrived
2026-08-12,MAA,IndiGo,Singapore,6E1002,06:15,06:17,2,Arrived
2026-08-12,MAA,IndiGo,Kolkata,6E0344,07:20,06:53,-27,Arrived
2026-08-12,MAA,IndiGo,Pune,6E0159,07:20,06:57,-23,Arrived
2026-08-12,MAA,Akasa Air,Mumbai,QP1145,07:00,06:59,-1,Arrived
2026-08-12,MAA,IndiGo,Coimbatore,6E0339,07:15,07:04,-11,Arrived
2026-08-12,MAA,Airasia,Kuala Lumpur,AK0011,07:25,07:08,-17,Arrived
2026-08-12,MAA,IndiGo,Kuala Lumpur,6E1032,06:55,07:12,17,Arrived
2026-08-12,MAA,Oman Air,Muscat,WY0251,07:25,07:30,5,Arrived
2026-08-12,MAA,Air India,Mumbai,AI2718,08:00,07:49,-11,Arrived
2026-08-12,MAA,IndiGo,Mumbai,6E5188,08:20,07:53,-27,Arrived
2026-08-12,MAA,Air India Express,Bengaluru,IX1472,08:10,07:58,-12,Arrived
2026-08-12,MAA,IndiGo,Hyderabad,6E0243,08:25,08:02,-23,Arrived
2026-08-12,MAA,IndiGo,Bengaluru,6E6269,08:15,08:06,-9,Arrived
2026-08-12,MAA,Air India,Mumbai,AI2821,08:55,08:40,-15,Arrived
2026-08-12,MAA,IndiGo,Ahmedabad,6E0479,09:15,08:49,-26,Arrived
2026-08-12,MAA,IndiGo,Navi Mumbai International Airport,6E2128,08:50,08:53,3,Arrived
2026-08-12,MAA,Etihad Airways,Abu Dhabi,EY0342,08:25,08:56,31,Arrived
2026-08-12,MAA,Singapore Airlines,Singapore,SQ0524,09:20,09:13,-7,Arrived
2026-08-12,MAA,IndiGo,Mangalore,6E7345,09:40,09:17,-23,Arrived
2026-08-12,MAA,Sri Lankan Airlines,Colombo,UL0121,08:50,09:20,30,Arrived
2026-08-12,MAA,IndiGo,Thoothukudi,6E7186,09:45,09:30,-15,Arrived
2026-08-12,MAA,Emirates,Dubai,EK0544,08:05,09:33,88,Arrived
2026-08-12,MAA,IndiGo,Trichy,6E7101,09:30,09:36,6,Arrived
2026-08-12,MAA,IndiGo,Madurai,6E7194,10:10,09:39,-31,Arrived
2026-08-12,MAA,IndiGo,Delhi,6E2368,10:05,09:43,-22,Arrived
2026-08-12,MAA,IndiGo,Cochin/Kochi,6E2622,09:45,09:45,0,Arrived
2026-08-12,MAA,IndiGo,Trivandrum,6E0343,10:25,10:20,-5,Arrived
2026-08-12,MAA,Air India,Delhi,AI2833,10:25,10:28,3,Arrived
2026-08-12,MAA,IndiGo,Cochin/Kochi,6E0539,10:40,10:41,1,Arrived
2026-08-12,MAA,IndiGo,Kolkata,6E0563,10:55,10:47,-8,Arrived
2026-08-12,MAA,Malaysia Airlines,Kuala Lumpur,MH0182,10:45,10:50,5,Arrived
2026-08-12,MAA,Air India,Mumbai,AI2739,11:10,10:52,-18,Arrived
2026-08-12,MAA,IndiGo,Bangkok,6E1062,11:10,10:54,-16,Arrived
2026-08-12,MAA,IndiGo,Hyderabad,6E6151,11:20,10:57,-23,Arrived
2026-08-12,MAA,IndiGo,Colombo,6E1174,11:05,11:01,-4,Arrived
2026-08-12,MAA,IndiGo,Guwahati,6E0927,11:30,11:17,-13,Arrived
2026-08-12,MAA,IndiGo,Mumbai,6E5313,12:00,11:34,-26,Arrived
2026-08-12,MAA,IndiGo,Bengaluru,6E0904,11:45,11:44,-1,Arrived
2026-08-12,MAA,IndiGo,Trichy,6E7365,12:10,11:50,-20,Arrived
